Variable,Year,Value,RSE,Industry
Grain legumes area sown (ha),2014,20,16,Mixed
Grain legumes produced (t),2014,25,15,Mixed
Grain legumes receipts ($),2014,7980,19,Mixed
Handling and marketing ($),2014,15350,14,Mixed
Hours worked on farm - total (hrsperwk),2014,91,4,Mixed
Hours worked on farm by owner manager (hrsperwk),2014,49,3,Mixed
Hours worked on farm by spouse (hrsperwk),2014,13,10,Mixed
Imputed labor cost ($),2014,74820,3,Mixed
Insurance ($),2014,14280,6,Mixed
Interest paid ($),2014,41900,10,Mixed
Lambs at 30 June (no.),2014,608,8,Mixed
Land rent ($),2014,14890,15,Mixed
Leasing charges ($),2014,1070,67,Mixed
Livestock materials ($),2014,8080,11,Mixed
Livestock transfers - inwards ($),2014,140,89,Mixed
Livestock transfers - outward ($),2014,850,61,Mixed
Lupins area sown (ha),2014,8,24,Mixed
Lupins produced (t),2014,10,23,Mixed
Lupins receipts ($),2014,2490,32,Mixed
Net capital additions ($),2014,95600,25,Mixed
Oats area sown (ha),2014,35,15,Mixed
Oats produced (t),2014,56,19,Mixed
Oats receipts ($),2014,9430,27,Mixed
Off farm contracts ($),2014,9800,27,Mixed
Off farm sharefarming ($),2014,6340,29,Mixed
Off-farm work for owner manager (hrsperwk),2014,2,64,Mixed
Off-farm work for spouse (hrsperwk),2014,10,19,Mixed
Oilseeds area sown (ha),2014,59,11,Mixed
Oilseeds produced (t),2014,96,12,Mixed
Oilseeds receipts ($),2014,62240,13,Mixed
Other administration expenses ($),2014,6710,9,Mixed
Other farm income ($),2014,19870,11,Mixed
Other livestock purchased ($),2014,40,50,Mixed
Other livestock receipts ($),2014,1170,52,Mixed
Other materials ($),2014,3620,11,Mixed
Other services ($),2014,10710,13,Mixed
Payments to sharefarmers ($),2014,3280,39,Mixed
Population,2014,11344,,Mixed
Produce purchased for resale ($),2014,10,391,Mixed
Profit at full equity ($),2014,100890,17,Mixed
Profit at full equity including capital appreciation ($),2014,130910,20,Mixed
Rams at 30 June (no.),2014,21,8,Mixed
Rate of return ex. capital appreciation (%),2014,2.2,16,Mixed
Rate of return inc. capital appreciation (%),2014,2.8,19,Mixed
Repairs and maintenance ($),2014,39870,6,Mixed
Rice area sown (ha),2014,1,96,Mixed
Sample Contributing,2014,335,,Mixed
Seed ($),2014,5580,10,Mixed
Shearing crutching ($),2014,13830,8,Mixed
Sheep and lambs shorn (no.),2014,1939,7,Mixed
Sheep flock at 30 June (no.),2014,1841,7,Mixed
Sheep purchased ($),2014,18580,15,Mixed
Sheep purchased (no.),2014,163,18,Mixed
Sheep receipts ($),2014,107600,8,Mixed
Sheep sold (no.),2014,926,7,Mixed
Shire and PPB rates ($),2014,12630,4,Mixed
Sorghum area sown (ha),2014,4,40,Mixed
Sorghum produced (t),2014,8,47,Mixed
Sorghum receipts ($),2014,2320,51,Mixed
Steers and other beef cattle at 30 June (no.),2014,24,23,Mixed
Stores and rations ($),2014,190,50,Mixed
Telephone ($),2014,3130,6,Mixed
Total area cropped (ha),2014,522,5,Mixed
Total area irrigated (ha),2014,,,Mixed
Total cash costs ($),2014,422110,6,Mixed
Total cash receipts ($),2014,585720,5,Mixed
Total closing capital ($),2014,4639120,4,Mixed
Total crop gross receipts ($),2014,324800,6,Mixed
Total family income ($),2014,119060,14,Mixed
Total freight ($),2014,15790,9,Mixed
Total labor used (weeks),2014,96,3,Mixed
Total non farm income ($),2014,38420,14,Mixed
Total off farm wages ($),2014,24980,21,Mixed
Total wool sold (kg),2014,7831,7,Mixed
Value of land and fixed improvements ($),2014,3732570,5,Mixed
Vet fees ($),2014,690,17,Mixed
Wages for hired labor ($),2014,13710,15,Mixed
Water charges ($),2014,1840,20,Mixed
Wethers at 30 June (no.),2014,125,16,Mixed
Wheat area sown (ha),2014,272,7,Mixed
Wheat produced (t),2014,571,7,Mixed
Wheat receipts ($),2014,170050,7,Mixed
Wheat sold (t),2014,526,7,Mixed
Wool cut per head (kg),2014,4.2,2,Mixed
Wool produced (kg),2014,8110,7,Mixed
Wool receipts ($),2014,63410,7,Mixed
AI stud fees and herd testing ($),2014,330,56,Sheep
Accounting services ($),2014,3580,8,Sheep
Advisory services ($),2014,330,38,Sheep
Age of owner manager (yrs),2014,59,1,Sheep
Age of spouse (yrs),2014,58,1,Sheep
Agistment ($),2014,560,34,Sheep
Area operated at 30 June (ha),2014,4155,16,Sheep
Barley area sown (ha),2014,14,26,Sheep
Barley produced (t),2014,41,30,Sheep
Barley receipts ($),2014,8850,34,Sheep
Beef bulls at 30 June (no.),2014,1,22,Sheep
Beef calves at 30 June (no.),2014,18,19,Sheep
Beef cattle purchased ($),2014,2620,27,Sheep
Beef cattle purchased (no.),2014,3,29,Sheep
Beef cattle receipts ($),2014,18770,17,Sheep
Beef cattle sold (no.),2014,24,19,Sheep
Beef cattle transferred off farm (no.),2014,2,80,Sheep
Beef cattle transferred onto farm (no.),2014,0,129,Sheep
Beef cows at 30 June (no.),2014,30,19,Sheep
Beef heifers at 30 June (no.),2014,7,32,Sheep
Beef herd at 30 June (no.),2014,68,23,Sheep
Branding rate (%),2014,86.4,2,Sheep
Buildup in trading stocks ($),2014,-10210,98,Sheep
Canola area sown (ha),2014,6,47,Sheep
Canola produced (t),2014,6,42,Sheep
Canola receipts ($),2014,4750,49,Sheep
Capital appreciation ($),2014,13620,156,Sheep
Capital at 1 July ($),2014,3389080,5,Sheep
Change in farm debt ($),2014,2170,584,Sheep
Contracts - cropping ($),2014,5910,17,Sheep
Contracts - livestock ($),2014,2420,17,Sheep
Cotton receipts ($),2014,0,,Sheep
Crop and pasture chemicals ($),2014,7140,27,Sheep
Dairy cattle at June 30 (no.),2014,0,,Sheep
Depreciation ($),2014,32520,8,Sheep
Electricity ($),2014,4020,9,Sheep
Equity ratio at 30 June (%),2014,90,1,Sheep
Ewes at 30 June (no.),2014,1767,5,Sheep
Family share of farm income ($),2014,40300,21,Sheep
Farm business debt at 30 June ($),2014,324410,12,Sheep
Farm business equity June 30 ($),2014,2967560,6,Sheep
Farm business profit ($),2014,-22290,47,Sheep
Farm cash income ($),2014,85640,14,Sheep
Farm liquid assets at 30 June ($),2014,146100,14,Sheep
Fertiliser ($),2014,17480,14,Sheep
Field peas area sown (ha),2014,0,129,Sheep
Field peas produced (t),2014,0,146,Sheep
Field peas receipts ($),2014,90,178,Sheep
Fodder ($),2014,9920,20,Sheep
Fuel oil and grease ($),2014,15460,10,Sheep
Grain legumes area sown (ha),2014,3,53,Sheep
Grain legumes produced (t),2014,6,61,Sheep
Grain legumes receipts ($),2014,1620,76,Sheep
Handling and marketing ($),2014,11010,12,Sheep
Hours worked on farm - total (hrsperwk),2014,74,4,Sheep
Hours worked on farm by owner manager (hrsperwk),2014,45,3,Sheep
Hours worked on farm by spouse (hrsperwk),2014,14,9,Sheep
Imputed labor cost ($),2014,65200,4,Sheep
Insurance ($),2014,8550,8,Sheep
Interest paid ($),2014,20500,13,Sheep
Lambs at 30 June (no.),2014,827,8,Sheep
Land rent ($),2014,4390,24,Sheep
Leasing charges ($),2014,490,75,Sheep
Livestock materials ($),2014,10810,9,Sheep
Livestock transfers - inwards ($),2014,460,58,Sheep
Livestock transfers - outward ($),2014,6000,61,Sheep
Lupins area sown (ha),2014,1,52,Sheep
Lupins produced (t),2014,1,53,Sheep
Lupins receipts ($),2014,110,83,Sheep
Net capital additions ($),2014,-15000,239,Sheep
Oats area sown (ha),2014,14,20,Sheep
Oats produced (t),2014,16,27,Sheep
Oats receipts ($),2014,1260,40,Sheep
Off farm contracts ($),2014,6230,35,Sheep
Off farm sharefarming ($),2014,480,123,Sheep
Off-farm work for owner manager (hrsperwk),2014,4,26,Sheep
Off-farm work for spouse (hrsperwk),2014,9,16,Sheep
Oilseeds area sown (ha),2014,6,42,Sheep
Oilseeds produced (t),2014,7,37,Sheep
Oilseeds receipts ($),2014,7060,34,Sheep
Other administration expenses ($),2014,4910,17,Sheep
Other farm income ($),2014,11630,18,Sheep
Other livestock purchased ($),2014,20,90,Sheep
Other livestock receipts ($),2014,3080,44,Sheep
Other materials ($),2014,3010,18,Sheep
Other services ($),2014,8240,15,Sheep
Payments to sharefarmers ($),2014,1660,72,Sheep
Population,2014,8101,,Sheep
Produce purchased for resale ($),2014,180,194,Sheep
Profit at full equity ($),2014,2980,353,Sheep
Profit at full equity including capital appreciation ($),2014,16590,144,Sheep
Rams at 30 June (no.),2014,45,9,Sheep
Rate of return ex. capital appreciation (%),2014,0.1,351,Sheep
Rate of return inc. capital appreciation (%),2014,0.5,144,Sheep
Repairs and maintenance ($),2014,23590,8,Sheep
Rice area sown (ha),2014,0,151,Sheep
Sample Contributing,2014,239,,Sheep
Seed ($),2014,1750,15,Sheep
Shearing crutching ($),2014,24150,6,Sheep
Sheep and lambs shorn (no.),2014,3122,5,Sheep
Sheep flock at 30 June (no.),2014,3005,5,Sheep
Sheep purchased ($),2014,13560,15,Sheep
Sheep purchased (no.),2014,88,19,Sheep
Sheep receipts ($),2014,130720,7,Sheep
Sheep sold (no.),2014,1277,6,Sheep
Shire and PPB rates ($),2014,8480,8,Sheep
Sorghum area sown (ha),2014,0,100,Sheep
Sorghum produced (t),2014,0,,Sheep
Sorghum receipts ($),2014,0,,Sheep
Steers and other beef cattle at 30 June (no.),2014,12,47,Sheep
Stores and rations ($),2014,320,31,Sheep
Telephone ($),2014,2300,7,Sheep
Total area cropped (ha),2014,97,27,Sheep
Total area irrigated (ha),2014,,,Sheep
Total cash costs ($),2014,238040,7,Sheep
Total cash receipts ($),2014,323680,7,Sheep
Total closing capital ($),2014,3375280,5,Sheep
Total crop gross receipts ($),2014,44360,30,Sheep
Total family income ($),2014,88330,11,Sheep
Total freight ($),2014,7470,10,Sheep
Total labor used (weeks),2014,82,3,Sheep
Total non farm income ($),2014,45120,10,Sheep
Total off farm wages ($),2014,30020,15,Sheep
Total wool sold (kg),2014,12169,6,Sheep
Value of land and fixed improvements ($),2014,2720870,5,Sheep
Vet fees ($),2014,810,30,Sheep
Wages for hired labor ($),2014,9700,16,Sheep
Water charges ($),2014,1940,28,Sheep
Wethers at 30 June (no.),2014,366,12,Sheep
Wheat area sown (ha),2014,35,46,Sheep
Wheat produced (t),2014,70,41,Sheep
Wheat receipts ($),2014,20810,44,Sheep
Wheat sold (t),2014,64,46,Sheep
Wool cut per head (kg),2014,4.1,2,Sheep
Wool produced (kg),2014,12775,5,Sheep
Wool receipts ($),2014,102420,6,Sheep
AI stud fees and herd testing ($),2014,330,54,Sheep-Beef
Accounting services ($),2014,3590,8,Sheep-Beef
Advisory services ($),2014,540,45,Sheep-Beef
Age of owner manager (yrs),2014,61,3,Sheep-Beef
Age of spouse (yrs),2014,58,4,Sheep-Beef
Agistment ($),2014,1130,35,Sheep-Beef
Area operated at 30 June (ha),2014,5495,93,Sheep-Beef
Barley area sown (ha),2014,6,112,Sheep-Beef
Barley produced (t),2014,17,177,Sheep-Beef
Barley receipts ($),2014,3710,207,Sheep-Beef
Beef bulls at 30 June (no.),2014,6,11,Sheep-Beef
Beef calves at 30 June (no.),2014,104,8,Sheep-Beef
Beef cattle purchased ($),2014,14110,15,Sheep-Beef
Beef cattle purchased (no.),2014,18,20,Sheep-Beef
Beef cattle receipts ($),2014,113490,7,Sheep-Beef
Beef cattle sold (no.),2014,143,7,Sheep-Beef
Beef cattle transferred off farm (no.),2014,1,255,Sheep-Beef
Beef cattle transferred onto farm (no.),2014,1,234,Sheep-Beef
Beef cows at 30 June (no.),2014,150,8,Sheep-Beef
Beef heifers at 30 June (no.),2014,26,14,Sheep-Beef
Beef herd at 30 June (no.),2014,329,8,Sheep-Beef
Branding rate (%),2014,84.9,2,Sheep-Beef
Buildup in trading stocks ($),2014,-18200,39,Sheep-Beef
Canola area sown (ha),2014,4,170,Sheep-Beef
Canola produced (t),2014,7,160,Sheep-Beef
Canola receipts ($),2014,4630,148,Sheep-Beef
Capital appreciation ($),2014,21230,123,Sheep-Beef
Capital at 1 July ($),2014,4276580,8,Sheep-Beef
Change in farm debt ($),2014,10080,156,Sheep-Beef
Contracts - cropping ($),2014,5190,27,Sheep-Beef
Contracts - livestock ($),2014,1770,25,Sheep-Beef
Cotton receipts ($),2014,0,,Sheep-Beef
Crop and pasture chemicals ($),2014,4600,62,Sheep-Beef
Dairy cattle at June 30 (no.),2014,0,,Sheep-Beef
Depreciation ($),2014,32680,11,Sheep-Beef
Electricity ($),2014,3820,10,Sheep-Beef
Equity ratio at 30 June (%),2014,91,2,Sheep-Beef
Ewes at 30 June (no.),2014,1230,7,Sheep-Beef
Family share of farm income ($),2014,29630,45,Sheep-Beef
Farm business debt at 30 June ($),2014,364460,19,Sheep-Beef
Farm business equity June 30 ($),2014,3771480,8,Sheep-Beef
Farm business profit ($),2014,-31180,43,Sheep-Beef
Farm cash income ($),2014,88340,18,Sheep-Beef
Farm liquid assets at 30 June ($),2014,134160,18,Sheep-Beef
Fertiliser ($),2014,14700,26,Sheep-Beef
Field peas area sown (ha),2014,0,,Sheep-Beef
Field peas produced (t),2014,0,,Sheep-Beef
Field peas receipts ($),2014,0,,Sheep-Beef
Fodder ($),2014,17390,12,Sheep-Beef
Fuel oil and grease ($),2014,13890,12,Sheep-Beef
Grain legumes area sown (ha),2014,1,77,Sheep-Beef
Grain legumes produced (t),2014,1,103,Sheep-Beef
Grain legumes receipts ($),2014,430,94,Sheep-Beef
Handling and marketing ($),2014,9640,13,Sheep-Beef
Hours worked on farm - total (hrsperwk),2014,81,5,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),2014,49,4,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),2014,16,15,Sheep-Beef
Imputed labor cost ($),2014,68640,5,Sheep-Beef
Insurance ($),2014,9660,15,Sheep-Beef
Interest paid ($),2014,23260,18,Sheep-Beef
Lambs at 30 June (no.),2014,594,8,Sheep-Beef
Land rent ($),2014,4000,22,Sheep-Beef
Leasing charges ($),2014,210,100,Sheep-Beef
Livestock materials ($),2014,8380,12,Sheep-Beef
Livestock transfers - inwards ($),2014,1430,198,Sheep-Beef
Livestock transfers - outward ($),2014,1940,176,Sheep-Beef
Lupins area sown (ha),2014,0,101,Sheep-Beef
Lupins produced (t),2014,1,103,Sheep-Beef
Lupins receipts ($),2014,430,94,Sheep-Beef
Net capital additions ($),2014,25490,94,Sheep-Beef
Oats area sown (ha),2014,17,23,Sheep-Beef
Oats produced (t),2014,5,43,Sheep-Beef
Oats receipts ($),2014,520,55,Sheep-Beef
Off farm contracts ($),2014,6020,47,Sheep-Beef
Off farm sharefarming ($),2014,960,192,Sheep-Beef
Off-farm work for owner manager (hrsperwk),2014,3,29,Sheep-Beef
Off-farm work for spouse (hrsperwk),2014,11,19,Sheep-Beef
Oilseeds area sown (ha),2014,4,157,Sheep-Beef
Oilseeds produced (t),2014,7,158,Sheep-Beef
Oilseeds receipts ($),2014,5310,129,Sheep-Beef
Other administration expenses ($),2014,5280,16,Sheep-Beef
Other farm income ($),2014,13800,21,Sheep-Beef
Other livestock purchased ($),2014,0,169,Sheep-Beef
Other livestock receipts ($),2014,1140,53,Sheep-Beef
Other materials ($),2014,3380,14,Sheep-Beef
Other services ($),2014,7690,15,Sheep-Beef
Payments to sharefarmers ($),2014,850,215,Sheep-Beef
Population,2014,5161,,Sheep-Beef
Produce purchased for resale ($),2014,0,,Sheep-Beef
Profit at full equity ($),2014,-3800,405,Sheep-Beef
Profit at full equity including capital appreciation ($),2014,17430,172,Sheep-Beef
Rams at 30 June (no.),2014,28,9,Sheep-Beef
Rate of return ex. capital appreciation (%),2014,-0.1,408,Sheep-Beef
Rate of return inc. capital appreciation (%),2014,0.4,170,Sheep-Beef
Repairs and maintenance ($),2014,22440,10,Sheep-Beef
Rice area sown (ha),2014,0,,Sheep-Beef
Sample Contributing,2014,149,,Sheep-Beef
Seed ($),2014,1860,16,Sheep-Beef
Shearing crutching ($),2014,15310,10,Sheep-Beef
Sheep and lambs shorn (no.),2014,2236,8,Sheep-Beef
Sheep flock at 30 June (no.),2014,2102,7,Sheep-Beef
Sheep purchased ($),2014,12070,19,Sheep-Beef
Sheep purchased (no.),2014,105,26,Sheep-Beef
Sheep receipts ($),2014,106300,8,Sheep-Beef
Sheep sold (no.),2014,1066,8,Sheep-Beef
Shire and PPB rates ($),2014,9380,9,Sheep-Beef
Sorghum area sown (ha),2014,0,,Sheep-Beef
Sorghum produced (t),2014,0,,Sheep-Beef
Sorghum receipts ($),2014,0,,Sheep-Beef
Steers and other beef cattle at 30 June (no.),2014,44,16,Sheep-Beef
Stores and rations ($),2014,510,30,Sheep-Beef
Telephone ($),2014,2760,11,Sheep-Beef
Total area cropped (ha),2014,67,35,Sheep-Beef
Total area irrigated (ha),2014,,,Sheep-Beef
Total cash costs ($),2014,245230,9,Sheep-Beef
Total cash receipts ($),2014,333560,11,Sheep-Beef
Total closing capital ($),2014,4302200,8,Sheep-Beef
Total crop gross receipts ($),2014,18910,128,Sheep-Beef
Total family income ($),2014,75480,26,Sheep-Beef
Total freight ($),2014,9130,22,Sheep-Beef
Total labor used (weeks),2014,87,5,Sheep-Beef
Total non farm income ($),2014,41010,21,Sheep-Beef
Total off farm wages ($),2014,30930,19,Sheep-Beef
Total wool sold (kg),2014,8386,9,Sheep-Beef
Value of land and fixed improvements ($),2014,3531830,9,Sheep-Beef
Vet fees ($),2014,3530,14,Sheep-Beef
Wages for hired labor ($),2014,12450,15,Sheep-Beef
Water charges ($),2014,970,35,Sheep-Beef
Wethers at 30 June (no.),2014,250,18,Sheep-Beef
Wheat area sown (ha),2014,6,151,Sheep-Beef
Wheat produced (t),2014,14,196,Sheep-Beef
Wheat receipts ($),2014,4470,229,Sheep-Beef
Wheat sold (t),2014,12,226,Sheep-Beef
Wool cut per head (kg),2014,3.8,3,Sheep-Beef
Wool produced (kg),2014,8475,8,Sheep-Beef
Wool receipts ($),2014,71000,9,Sheep-Beef
AI stud fees and herd testing ($),2015,320,22,All Broadacre
Accounting services ($),2015,4910,15,All Broadacre
Advisory services ($),2015,1470,9,All Broadacre
Age of owner manager (yrs),2015,60,1,All Broadacre
Age of spouse (yrs),2015,57,1,All Broadacre
Agistment ($),2015,2390,15,All Broadacre
Area operated at 30 June (ha),2015,7186,6,All Broadacre
Barley area sown (ha),2015,77,7,All Broadacre
Barley produced (t),2015,158,7,All Broadacre
Barley receipts ($),2015,48990,7,All Broadacre
Beef bulls at 30 June (no.),2015,8,5,All Broadacre
Beef calves at 30 June (no.),2015,97,4,All Broadacre
Beef cattle purchased ($),2015,15770,9,All Broadacre
Beef cattle purchased (no.),2015,18,10,All Broadacre
Beef cattle receipts ($),2015,151820,4,All Broadacre
Beef cattle sold (no.),2015,152,4,All Broadacre
Beef cattle transferred off farm (no.),2015,10,17,All Broadacre
Beef cattle transferred onto farm (no.),2015,5,23,All Broadacre
Beef cows at 30 June (no.),2015,176,4,All Broadacre
Beef heifers at 30 June (no.),2015,34,5,All Broadacre
Beef herd at 30 June (no.),2015,396,3,All Broadacre
Branding rate (%),2015,73.8,2,All Broadacre
Buildup in trading stocks ($),2015,-28960,14,All Broadacre
